S&P/ASX 200 Index (1 July 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
ABP,Abacus Property Group,Real Estate,"2,380,270,000",0.13,,"1,901,665,894,000",
ABC,Adelaide Brighton,Materials,"2,632,960,000",0.14,,,
APT,Afterpay Touch,Information Technology,"6,333,580,000",0.33,,Sector Breakdown,
AGL,AGL Energy Limited,Utilities,"13,123,100,000",0.69,,Consumer Discretionary,6.73
ALQ,Als Limited,Industrials,"3,563,680,000",0.19,,Consumer Staples,5.26
ALU,Altium Limited,Information Technology,"4,463,490,000",0.23,,Energy,5.63
AWC,Alumina Limited,Materials,"6,710,040,000",0.35,,Financials,30.13
AMC,Amcor Plc Cdi 1:1 Foreign Exempt NYSE,Materials,"18,346,500,000",0.96,,Health Care,8.63
AMP,AMP Limited,Financials,"6,246,570,000",0.33,,Industrials,8.65
ANN,Ansell Limited,Health Care,"3,555,010,000",0.19,,Information Technology,3.63
ANZ,ANZ Banking Group Limited,Financials,"79,923,900,000",4.2,,Materials,18.61
APA,APA Group FP Units Stapled Securities,Utilities,"12,742,900,000",0.67,,Real Estate,7.43
APX,Appen Limited,Information Technology,"3,386,140,000",0.18,,Telecommunication Services,3.37
ARB,ARB Corporation,Consumer Discretionary,"1,451,000,000",0.08,,Utilities,1.94
ALG,Ardentleisuregrpltd,Consumer Discretionary,"503,691,000",0.03,,,
ALL,Aristocrat Leisure,Consumer Discretionary,"19,616,100,000",1.03,,,
ASX,ASX Limited,Financials,"15,946,400,000",0.84,,,
ALX,Atlas Arteria,Industrials,"5,356,800,000",0.28,,,
AZJ,Aurizon Holdings Limited,Industrials,"10,746,700,000",0.57,,,
ASL,Ausdrill Limited,Materials,"1,251,410,000",0.07,,,
AST,Ausnet Services Limited,Utilities,"6,848,750,000",0.36,,,
ASB,Austal Limited,Industrials,"1,203,010,000",0.06,,,
API,Australian Pharm,Health Care,"650,144,000",0.03,,,
AOG,Aveo Group,Real Estate,"1,091,790,000",0.06,,,
BOQ,Bank of Queensland,Financials,"3,867,130,000",0.2,,,
BAP,Bapcor Limited,Consumer Discretionary,"1,581,820,000",0.08,,,
BPT,Beach Energy Limited,Energy,"4,522,320,000",0.24,,,
BGA,Bega Cheese Limited,Consumer Staples,"1,021,650,000",0.05,,,
BAL,Bellamy's Australia,Consumer Staples,"942,091,000",0.05,,,
BEN,Bendigo and Adelaide,Financials,"5,679,420,000",0.3,,,
BHP,BHP Group Limited,Materials,"121,251,000,000",6.38,,,
BIN,Bingo Industries Limited,Industrials,"1,494,150,000",0.08,,,
BKL,Blackmores Limited,Consumer Staples,"1,560,970,000",0.08,,,
BSL,Bluescope Steel Limited,Materials,"6,256,670,000",0.33,,,
BLD,Boral Limited,Materials,"6,002,340,000",0.32,,,
BXB,Brambles Limited,Industrials,"20,541,000,000",1.08,,,
BVS,Bravura Solution Limited,Information Technology,"1,181,810,000",0.06,,,
BRG,Breville Group Limited,Consumer Discretionary,"2,128,360,000",0.11,,,
BKW,Brickworks Limited,Materials,"2,439,780,000",0.13,,,
BWP,BWP Trust Ordinary Units FP,Real Estate,"2,363,970,000",0.12,,,
CTX,Caltex Australia,Energy,"6,180,250,000",0.32,,,
CAR,Carsales.com Limited,Information Technology,"3,306,020,000",0.17,,,
CGF,Challenger Limited,Financials,"4,061,000,000",0.21,,,
CHC,Charter Hall Group Stapled Securities US Prohibited,Real Estate,"5,044,370,000",0.27,,,
CQR,Charter Hall Retail Units FP,Real Estate,"1,926,740,000",0.1,,,
CNU,Chorus Limited Foreign Exempt NZX,Telecommunication Services,"2,389,730,000",0.13,,,
CLW,CHTR H LWR FP Units Stapled Securities,Real Estate,"1,618,160,000",0.09,,,
CIM,Cimic Group Limited,Industrials,"14,516,900,000",0.76,,,
CWY,Cleanaway Waste Limited,Industrials,"4,763,700,000",0.25,,,
CUV,Clinuvel Pharmaceut,Health Care,"1,648,990,000",0.09,,,
CCL,Coca-Cola Amatil,Consumer Staples,"7,399,280,000",0.39,,,
COH,Cochlear Limited,Health Care,"11,937,900,000",0.63,,,
COL,Coles Group,Consumer Staples,"17,808,000,000",0.94,,,
CBA,Commonwealth Bank,Financials,"146,540,000,000",7.71,,,
CPU,Computershare Limited,Information Technology,"8,801,310,000",0.46,,,
COE,Cooper Energy Limited,Energy,"875,637,000",0.05,,,
CTD,Corp Travel Limited,Consumer Discretionary,"2,441,070,000",0.13,,,
CGC,Costa Group Holdings,Consumer Staples,"1,295,040,000",0.07,,,
CCP,Credit Corp Group,Financials,"1,456,430,000",0.08,,,
CMW,Cromwell Prop,Real Estate,"2,583,320,000",0.14,,,
CWN,Crown Resorts Limited,Consumer Discretionary,"8,430,620,000",0.44,,,
CSL,CSL Limited,Health Care,"97,424,800,000",5.12,,,
CSR,CSR Limited,Materials,"1,951,310,000",0.1,,,
CYB,CYBG Plc Cdi 1:1 Foreign Exempt Lse,Financials,"3,061,550,000",0.16,,,
DXS,Dexus FP Units Stapled Securities,Real Estate,"14,237,200,000",0.75,,,
DHG,Domain Holdings Aus,Information Technology,"1,854,190,000",0.1,,,
DMP,Domino PIZZA Enterpr,Consumer Discretionary,"3,223,270,000",0.17,,,
DOW,Downer Edi Limited,Industrials,"4,115,340,000",0.22,,,
DLX,Duluxgroup Limited,Materials,"3,627,810,000",0.19,,,
ECX,Eclipx Group Limited,Financials,"418,724,000",0.02,,,
ELD,Elders Limited,Consumer Staples,"726,358,000",0.04,,,
EHL,Emeco Holdings,Industrials,"669,050,000",0.04,,,
EHE,Estia Health Limited,Health Care,"687,991,000",0.04,,,
EVN,Evolution Mining Limited,Materials,"7,399,220,000",0.39,,,
FPH,Fisher & Paykel H Foreign Exempt NZX,Health Care,"8,509,600,000",0.45,,,
FBU,Fletcher Building Foreign Exempt NZX,Materials,"3,976,600,000",0.21,,,
FLT,Flight Centre Travel,Consumer Discretionary,"4,200,940,000",0.22,,,
FMG,Fortescue Metals Group,Materials,"27,772,300,000",1.46,,,
GUD,G.U.D. Holdings,Consumer Discretionary,"865,725,000",0.05,,,
GEM,G8 Education Limited,Consumer Discretionary,"1,388,940,000",0.07,,,
GXY,Galaxy Resources,Materials,"501,444,000",0.03,,,
GMG,Goodman Group,Real Estate,"27,262,600,000",1.43,,,
GPT,GPT Group,Real Estate,"11,910,600,000",0.63,,,
GNC,Graincorp Limited Class A,Consumer Staples,"1,823,980,000",0.1,,,
GOZ,Growthpoint Property,Real Estate,"2,998,510,000",0.16,,,
GWA,GWA Group Limited,Industrials,"902,701,000",0.05,,,
HVN,Harvey Norman,Consumer Discretionary,"4,801,530,000",0.25,,,
HLS,Healius,Health Care,"1,879,410,000",0.1,,,
HUB,HUB24 Limited,Financials,"740,473,000",0.04,,,
IEL,Idp Education Limited,Consumer Discretionary,"4,493,500,000",0.24,,,
ILU,Iluka Resources,Materials,"4,550,320,000",0.24,,,
IPL,Incitec Pivot,Materials,"5,475,720,000",0.29,,,
IGO,Independence Group,Materials,"2,787,060,000",0.15,,,
ING,Inghams Group,Consumer Staples,"1,494,150,000",0.08,,,
IAG,Insurance Australia,Financials,"19,089,200,000",1,,,
IVC,Invocare Limited,Consumer Discretionary,"1,867,910,000",0.1,,,
IFL,IOOF Holdings Limited,Financials,"1,815,060,000",0.1,,,
IPH,IPH Limited,Industrials,"1,472,170,000",0.08,,,
IRE,Iress Limited,Information Technology,"2,434,290,000",0.13,,,
JBH,JB Hi-Fi Limited,Consumer Discretionary,"2,969,740,000",0.16,,,
A2M,The a2 Milk Company,Consumer Staples,"10,178,300,000",0.54,,,
JHG,Janus Henderson Chess Depositary Interests 1:1,Financials,"1,466,190,000",0.08,,,
JHX,James Hardie Indust Chess Depositary Interests 1:1,Materials,"8,270,460,000",0.43,,,
LLC,Lendlease Group,Real Estate,"7,333,700,000",0.39,,,
LNK,Link Admin HLDG,Information Technology,"2,669,750,000",0.14,,,
LYC,Lynas Corporation,Materials,"1,716,250,000",0.09,,,
MFG,Magellan Fin Group Limited,Financials,"9,031,460,000",0.47,,,
MGR,Mirvac Group,Real Estate,"12,241,900,000",0.64,,,
MIN,Mineral Resources,Materials,"2,817,720,000",0.15,,,
MMS,Mcmillan Shakespeare,Industrials,"1,015,930,000",0.05,,,
MND,Monadelphous Group,Industrials,"1,773,680,000",0.09,,,
MPL,Medibank Private Limited,Financials,"9,611,470,000",0.51,,,
MQG,Macquarie Group Limited,Financials,"42,680,600,000",2.24,,,
MTS,Metcash Limited,Consumer Staples,"2,336,790,000",0.12,,,
MYX,Mayne Pharma Limited,Health Care,"807,298,000",0.04,,,
NAB,National Aust. Bank,Financials,"75,120,300,000",3.95,,,
NAN,Nanosonics Limited,Health Care,"1,685,820,000",0.09,,,
NCM,Newcrest Mining,Materials,"24,552,800,000",1.29,,,
NEA,Nearmap Limited,Industrials,"1,694,180,000",0.09,,,
NEC,Nine Entertainment,Consumer Discretionary,"3,197,610,000",0.17,,,
NHC,New Hope Corporation,Energy,"2,252,730,000",0.12,,,
NHF,Nib Holdings Limited,Financials,"3,494,080,000",0.18,,,
NSR,National Storage,Real Estate,"1,179,380,000",0.06,,,
NST,Northern Star,Materials,"7,451,250,000",0.39,,,
NUF,Nufarm Limited,Materials,"1,556,520,000",0.08,,,
NWH,NRW Holdings Limited,Industrials,"943,488,000",0.05,,,
NWS,News Corp Class B Voting Common Stock-Cdi 1:1,Consumer Discretionary,"911,113,000",0.05,,,
NXT,NEXTDC Limited,Information Technology,"2,230,320,000",0.12,,,
OML,Ooh!Media Limited,Consumer Discretionary,"933,349,000",0.05,,,
ORA,Orora Limited,Materials,"3,909,660,000",0.21,,,
ORE,Orocobre Limited,Materials,"737,932,000",0.04,,,
ORG,Origin Energy,Energy,"12,874,500,000",0.68,,,
ORI,Orica Limited,Materials,"7,701,410,000",0.4,,,
OSH,Oil Search Limited 10 Toea,Energy,"10,780,000,000",0.57,,,
OZL,OZ Minerals,Materials,"3,248,460,000",0.17,,,
PDL,Pendal Group Limited,Financials,"2,273,750,000",0.12,,,
PGH,Pact Group Holdings Limited,Materials,"959,742,000",0.05,,,
PLS,Pilbara Min Limited,Materials,"1,009,020,000",0.05,,,
PMV,Premier Investments,Consumer Discretionary,"2,403,380,000",0.13,,,
PNI,Pinnacle Investment,Financials,"800,963,000",0.04,,,
PPT,Perpetual Limited,Financials,"1,967,300,000",0.1,,,
PTM,Platinum Asset,Financials,"2,845,390,000",0.15,,,
QAN,Qantas Airways,Industrials,"8,480,730,000",0.45,,,
QBE,QBE Insurance Group,Financials,"15,632,100,000",0.82,,,
QUB,QUBE Holdings Limited,Industrials,"4,883,010,000",0.26,,,
REA,REA Group,Information Technology,"12,649,900,000",0.67,,,
RHC,Ramsay Health Care,Health Care,"14,598,300,000",0.77,,,
RIO,RIO Tinto Limited,Materials,"38,517,400,000",2.03,,,
RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care,"7,205,890,000",0.38,,,
RRL,Regis Resources,Materials,"2,681,550,000",0.14,,,
RSG,Resolute Mining,Materials,"1,012,060,000",0.05,,,
RWC,Reliance Worldwide,Industrials,"2,781,130,000",0.15,,,
S32,SOUTH32 Limited,Materials,"15,964,100,000",0.84,,,
SAR,Saracen Mineral,Materials,"3,019,120,000",0.16,,,
SBM,ST Barbara Limited,Materials,"2,045,220,000",0.11,,,
SCG,Scentre Group,Real Estate,"20,417,300,000",1.07,,,
SCP,Sca Property Group FP Units Stapled Securities,Real Estate,"2,212,140,000",0.12,,,
SDA,Speedcast Int Limited,Telecommunication Services,"834,300,000",0.04,,,
SDF,Steadfast Group Limited,Financials,"2,783,560,000",0.15,,,
SEK,Seek Limited,Industrials,"7,448,550,000",0.39,,,
SFR,Sandfire Resources,Materials,"1,067,450,000",0.06,,,
SGM,Sims Metal MGMT Limited,Materials,"2,201,660,000",0.12,,,
SGP,Stockland,Real Estate,"9,942,750,000",0.52,,,
SGR,The Star Ent Group,Consumer Discretionary,"3,779,370,000",0.2,,,
SHL,Sonic Healthcare,Health Care,"12,842,400,000",0.68,,,
SIG,Sigma Health Limited,Health Care,"587,990,000",0.03,,,
SIQ,Smartgrp Corporation,Industrials,"1,100,000,000",0.06,,,
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,"2,415,160,000",0.13,,,
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,"4,087,290,000",0.21,,,
SOL,Soul Pattinson (W.H),Energy,"5,264,300,000",0.28,,,
SPK,Spark New Zealand Foreign Exempt NZX,Telecommunication Services,"6,995,890,000",0.37,,,
SSM,Service Stream,Industrials,"1,128,550,000",0.06,,,
STO,Santos Limited,Energy,"14,747,000,000",0.78,,,
SUL,Super Ret Rep Limited,Consumer Discretionary,"1,624,470,000",0.09,,,
SUN,Suncorp Group Limited,Financials,"17,490,800,000",0.92,,,
SVW,Seven Group Holdings,Industrials,"6,274,720,000",0.33,,,
SXL,STHN Cross Media,Consumer Discretionary,"961,267,000",0.05,,,
SYD,SYD Airport,Industrials,"18,146,900,000",0.95,,,
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"8,985,870,000",0.47,,,
TCL,Transurban Group,Industrials,"39,433,900,000",2.07,,,
TGR,Tassal Group Limited,Consumer Staples,"874,405,000",0.05,,,
TLS,Telstra Corporation,Telecommunication Services,"45,789,200,000",2.41,,,
TNE,Technology One,Information Technology,"2,498,980,000",0.13,,,
TPM,TPG Telecom Limited,Telecommunication Services,"5,975,110,000",0.31,,,
TWE,Treasury Wine Estate,Consumer Staples,"10,729,000,000",0.56,,,
URW,Unibailrodawestfield Chess Depositary Interests 20:1,Real Estate,"3,294,160,000",0.17,,,
VCX,Vicinity Centres,Real Estate,"9,240,990,000",0.49,,,
VEA,Viva Energy Group,Energy,"4,102,970,000",0.22,,,
VOC,Vocus Group Limited,Telecommunication Services,"2,034,800,000",0.11,,,
VVR,Viva Energy REIT,Real Estate,"2,016,760,000",0.11,,,
WBC,Westpac Banking Corp,Financials,"98,974,400,000",5.2,,,
WEB,Webjet Limited,Consumer Discretionary,"1,844,170,000",0.1,,,
WES,Wesfarmers Limited,Consumer Discretionary,"40,999,700,000",2.16,,,
WHC,Whitehaven Coal,Energy,"3,755,330,000",0.2,,,
WOR,Worleyparsons Limited,Energy,"7,634,570,000",0.4,,,
WOW,Woolworths Group Limited,Consumer Staples,"41,826,300,000",2.2,,,
WPL,Woodside Petroleum,Energy,"34,038,500,000",1.79,,,
WSA,Western Areas Limited,Materials,"537,518,000",0.03,,,
WTC,Wisetech Global Limited,Information Technology,"8,816,240,000",0.46,,,
XRO,Xero Limited,Information Technology,"8,458,580,000",0.44,,,
